VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,month,LocationID,Borough,Zone,service_zone
2,2023-01-25 13:19:33,01/25/2023 01:55:41 PM,N,1.0,65,108,1.0,13.67,56.2,0.0,0.5,11.54,0.0,,1.0,69.24,1.0,1.0,0.0,1,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
1,2023-01-04 09:27:55,01/04/2023 09:57:05 AM,N,1.0,17,45,1.0,5.2,19.0,2.75,1.5,0.0,0.0,,1.0,23.25,1.0,1.0,2.75,1,17,Brooklyn,Bedford,Boro Zone
2,2023-01-15 15:40:00,01/15/2023 04:04:00 PM,,,61,61,,4.0,24.89,0.0,0.0,5.18,0.0,,1.0,31.07,,,,1,61,Brooklyn,Crown Heights North,Boro Zone
1,2023-01-17 14:25:19,01/17/2023 02:30:23 PM,N,1.0,33,54,1.0,0.9,6.5,0.0,1.5,0.0,0.0,,1.0,8.0,2.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
1,2023-01-13 20:33:36,01/13/2023 08:46:18 PM,N,1.0,14,29,1.0,0.0,26.2,0.0,1.5,0.0,0.0,,1.0,27.7,1.0,1.0,0.0,1,14,Brooklyn,Bay Ridge,Boro Zone
2,2023-01-09 01:27:50,01/09/2023 01:42:27 AM,N,1.0,97,88,2.0,3.62,18.4,1.0,0.5,4.73,0.0,,1.0,28.38,1.0,1.0,2.75,1,97,Brooklyn,Fort Greene,Boro Zone
1,2023-01-29 16:17:52,01/29/2023 04:33:19 PM,N,1.0,225,17,1.0,0.0,18.5,0.0,1.5,0.0,0.0,,1.0,20.0,1.0,1.0,0.0,1,225,Brooklyn,Stuyvesant Heights,Boro Zone
2,2023-01-22 00:13:13,01/22/2023 12:37:57 AM,N,1.0,36,79,1.0,4.89,26.8,1.0,0.5,6.41,0.0,,1.0,38.46,1.0,1.0,2.75,1,36,Brooklyn,Bushwick North,Boro Zone
1,2023-01-15 15:09:42,01/15/2023 03:17:44 PM,N,1.0,97,49,1.0,1.2,8.6,0.0,1.5,2.0,0.0,,1.0,12.1,1.0,1.0,0.0,1,97,Brooklyn,Fort Greene,Boro Zone
2,2023-01-08 17:14:13,01/08/2023 05:28:54 PM,N,1.0,33,62,1.0,2.88,16.3,0.0,0.5,4.45,0.0,,1.0,22.25,1.0,1.0,0.0,1,33,Brooklyn,Brooklyn Heights,Boro Zone
